id,countryId,name,hasTransfers,hasActivities,photos
30,4,Berlin,True,True,"{'header': [{'caption': 'Berlin', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/berlin/berlin.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/berlin/berlin-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/berlin/berlin-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/berlin/berlin-top-m.jpg'}}]}"
31,180,Edinburgh,True,True,"{'header': [{'caption': 'Edinburgh', 'paths': {'original': 'https://cdn2.civitatis.com/reino-unido/edimburgo/edimburgo.jpg', 'thumbnail': 'https://cdn2.civitatis.com/reino-unido/edimburgo/edimburgo-m.jpg', 'top': 'https://cdn2.civitatis.com/reino-unido/edimburgo/edimburgo-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/reino-unido/edimburgo/edimburgo-top-m.jpg'}}]}"
32,140,Fez,True,True,"{'header': [{'caption': 'Fez', 'paths': {'original': 'https://cdn2.civitatis.com/marruecos/fez/fez.jpg', 'thumbnail': 'https://cdn2.civitatis.com/marruecos/fez/fez-m.jpg', 'top': 'https://cdn2.civitatis.com/marruecos/fez/fez-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/marruecos/fez/fez-top-m.jpg'}}]}"
33,90,Athens,True,True,"{'header': [{'caption': 'Athens', 'paths': {'original': 'https://cdn2.civitatis.com/grecia/atenas/atenas.jpg', 'thumbnail': 'https://cdn2.civitatis.com/grecia/atenas/atenas-m.jpg', 'top': 'https://cdn2.civitatis.com/grecia/atenas/atenas-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/grecia/atenas/atenas-top-m.jpg'}}]}"
35,73,Barcelona,True,True,"{'header': [{'caption': 'Barcelona', 'paths': {'original': 'https://cdn2.civitatis.com/espana/barcelona/barcelona.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/barcelona/barcelona-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/barcelona/barcelona-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/barcelona/barcelona-top-m.jpg'}}]}"
36,135,Maldives,False,False,"{'header': [{'caption': 'Maldives', 'paths': {'original': 'https://cdn2.civitatis.com/maldivas/maldivas/maldivas.jpg', 'thumbnail': 'https://cdn2.civitatis.com/maldivas/maldivas/maldivas-m.jpg', 'top': 'https://cdn2.civitatis.com/maldivas/maldivas/maldivas-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/maldivas/maldivas/maldivas-top-m.jpg'}}]}"
40,112,Milan,True,True,"{'header': [{'caption': 'Milan', 'paths': {'original': 'https://cdn2.civitatis.com/italia/milan/milan.jpg', 'thumbnail': 'https://cdn2.civitatis.com/italia/milan/milan-m.jpg', 'top': 'https://cdn2.civitatis.com/italia/milan/milan-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/italia/milan/milan-top-m.jpg'}}]}"
42,47,Beijing,True,True,"{'header': [{'caption': 'Beijing', 'paths': {'original': 'https://cdn2.civitatis.com/china/pekin/pekin.jpg', 'thumbnail': 'https://cdn2.civitatis.com/china/pekin/pekin-m.jpg', 'top': 'https://cdn2.civitatis.com/china/pekin/pekin-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/china/pekin/pekin-top-m.jpg'}}]}"
43,47,Shanghai,True,True,"{'header': [{'caption': 'Shanghai', 'paths': {'original': 'https://cdn2.civitatis.com/china/shanghai/shanghai.jpg', 'thumbnail': 'https://cdn2.civitatis.com/china/shanghai/shanghai-m.jpg', 'top': 'https://cdn2.civitatis.com/china/shanghai/shanghai-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/china/shanghai/shanghai-top-m.jpg'}}]}"
44,106,Bali,True,True,"{'header': [{'caption': 'Bali', 'paths': {'original': 'https://cdn2.civitatis.com/indonesia/bali/bali.jpg', 'thumbnail': 'https://cdn2.civitatis.com/indonesia/bali/bali-m.jpg', 'top': 'https://cdn2.civitatis.com/indonesia/bali/bali-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/indonesia/bali/bali-top-m.jpg'}}]}"
46,162,Oslo,True,True,"{'header': [{'caption': 'Oslo', 'paths': {'original': 'https://cdn2.civitatis.com/noruega/oslo/oslo.jpg', 'thumbnail': 'https://cdn2.civitatis.com/noruega/oslo/oslo-m.jpg', 'top': 'https://cdn2.civitatis.com/noruega/oslo/oslo-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/noruega/oslo/oslo-top-m.jpg'}}]}"
47,183,Bucharest,True,True,"{'header': [{'caption': 'Bucharest', 'paths': {'original': 'https://cdn2.civitatis.com/rumania/bucarest/bucarest.jpg', 'thumbnail': 'https://cdn2.civitatis.com/rumania/bucarest/bucarest-m.jpg', 'top': 'https://cdn2.civitatis.com/rumania/bucarest/bucarest-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/rumania/bucarest/bucarest-top-m.jpg'}}]}"
48,13,Buenos Aires,True,True,"{'header': [{'caption': 'Buenos Aires', 'paths': {'original': 'https://cdn2.civitatis.com/argentina/buenos-aires/buenos-aires.jpg', 'thumbnail': 'https://cdn2.civitatis.com/argentina/buenos-aires/buenos-aires-m.jpg', 'top': 'https://cdn2.civitatis.com/argentina/buenos-aires/buenos-aires-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/argentina/buenos-aires/buenos-aires-top-m.jpg'}}]}"
49,73,Ibiza,False,False,"{'header': [{'caption': 'Ibiza', 'paths': {'original': 'https://cdn2.civitatis.com/espana/ibiza/ibiza.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/ibiza/ibiza-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/ibiza/ibiza-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/ibiza/ibiza-top-m.jpg'}}]}"
50,4,Munich,True,True,"{'header': [{'caption': 'Munich', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/munich/munich.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/munich/munich-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/munich/munich-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/munich/munich-top-m.jpg'}}]}"
51,24,Bruges,False,True,"{'header': [{'caption': 'Bruges', 'paths': {'original': 'https://cdn2.civitatis.com/belgica/brujas/brujas.jpg', 'thumbnail': 'https://cdn2.civitatis.com/belgica/brujas/brujas-m.jpg', 'top': 'https://cdn2.civitatis.com/belgica/brujas/brujas-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/belgica/brujas/brujas-top-m.jpg'}}]}"
52,73,Granada,True,True,"{'header': [{'caption': 'Granada', 'paths': {'original': 'https://cdn2.civitatis.com/espana/granada/granada.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/granada/granada-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/granada/granada-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/granada/granada-top-m.jpg'}}]}"
53,73,Cuenca,False,True,"{'header': [{'caption': 'Cuenca', 'paths': {'original': 'https://cdn2.civitatis.com/espana/cuenca/cuenca.jpg', 'thumbnail': 'https://cdn2.civitatis.com/espana/cuenca/cuenca-m.jpg', 'top': 'https://cdn2.civitatis.com/espana/cuenca/cuenca-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/espana/cuenca/cuenca-top-m.jpg'}}]}"
54,146,Riviera Maya,False,False,"{'header': [{'caption': 'Riviera Maya', 'paths': {'original': 'https://cdn2.civitatis.com/mexico/riviera-maya/riviera-maya.jpg', 'thumbnail': 'https://cdn2.civitatis.com/mexico/riviera-maya/riviera-maya-m.jpg', 'top': 'https://cdn2.civitatis.com/mexico/riviera-maya/riviera-maya-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/mexico/riviera-maya/riviera-maya-top-m.jpg'}}]}"
55,176,Krakow,True,True,"{'header': [{'caption': 'Krakow', 'paths': {'original': 'https://cdn2.civitatis.com/polonia/cracovia/cracovia.jpg', 'thumbnail': 'https://cdn2.civitatis.com/polonia/cracovia/cracovia-m.jpg', 'top': 'https://cdn2.civitatis.com/polonia/cracovia/cracovia-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/polonia/cracovia/cracovia-top-m.jpg'}}]}"
56,47,Xi'an,True,True,"{'header': [{'caption': ""Xi'an"", 'paths': {'original': 'https://cdn2.civitatis.com/china/xian/xian.jpg', 'thumbnail': 'https://cdn2.civitatis.com/china/xian/xian-m.jpg', 'top': 'https://cdn2.civitatis.com/china/xian/xian-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/china/xian/xian-top-m.jpg'}}]}"
